commenttext,classification
fixme formatters are not thread safe,1
xxx jon skeet the comment if it ha not been done already may not be strictly true wrapper maybeconfigure will not configure the same attributestext more than once but it may well add the child again unless i 've missed something,1
i hate to admit it but we do not know what happened here throw the exception,1
just a note starteam ha a status for new which implies that there is an item on your local machine that is not in the repository these are the item that show up a not in view in the starteam gui one would think that we would want to perhaps checkin the new item not in all case ! steve cohen dec unfortunately the sdk doe not really work and we can not actually see anything with a status of new that is why we can just check out everything here without worrying about losing anything,1
the generated class must not be added in the generic jar ! is that buggy on old jonas \? \?,1
todo is this comment still relevant \? \? fixme need to use a saxsource a the source for the transform so we can plug in our own entity resolver,1
this is turned off temporarily there appears to be a bug in selectorutils matchpattern where it is recursive on window even if no is in pattern assertequals ffftffffffff result unix v assertequals ffftfffftfff result window,1
pattern now hold while string is not exhausted this will generate false positive but we can live with that,1
fixme is no namespace is empty namespace really ok \?,1
fixme this is actually not very cpu cycle friendly a we are converting from do to java while the underlying sun implementation will convert from java to do time for internal storage,1
check first that it is not already loaded otherwise consecutive run seems to end into an outofmemoryerror or it fails when there is a native library to load several time this is far from being perfect but should work in most case,1
todo a warning line that show code which contains a variable error will cause some trouble the parser should definitely be much better,1
todo is this comment still relevant \? \? fixme need to use a saxsource a the source for the transform so we can plug in our own entity resolver,1
xxx i really do not like this the xml processor is still too 'involved in the processing a better solution imo would be to create ue for project and target too and then process the tree and have projecttarget deal with it attribute similar with description if we eventually switch to or add support for dom thing will work smoothly ue can be avoided almost completely it could still be created on demand for backward compatibility,1
junit wrap solo test this way we can extract the original test name with a little hack,1
xxx ignore attribute in a different n maybe store them \?,1
borrowed from tokenfiltertest,1
xxx move to project so it is shared by all helper,1
what is the property supposed to be \?,1
pr hack for ant type value an ant type is a component name which can be namespaced need to extract the name and convert from qualified name to uriname,1
there 's a convenient xsltc class version but data are private so use package information,1
stolen from org apache xerces impl xmlentitymanager getuserdir of the xerces j team which ascii character need to be escaped,1
bingo append it this should normally not be done here,1
this is faintly ridiculous,1
can not remove underscore due to protected visibility,1
todo not read yet in a public setter,1
pr i do not know what to do if the object class ha multiple defines but this is for logging only,1
not sure what could be the need of this,1
xxx jon skeet any reason for writing a message and then using a bare runtimeexception rather than just using a buildexception here \? is it in case the message could end up being written to no logger a the logger could have failed to be created due to this failure \?,1
experimentaltesting will be removed,1
xxx should instead make a new protectiondomain with a codesource corresponding to container touri tourl and the same permissioncollection a project class protectiondomain had,1
this is really irritating we need a way to set stuff,1
xxx all this to convert source to destination directory according to weblogic standard can be written better this is too hacky !,1
silly hack to avoid stack overflow,1
access to property table this is used to support ant call and similar task it should be deprecated it is possible to use a better more efficient mechanism to preserve the context,1
xxx should throw an exception instead \?,1
temporary until we figure a better api,1
there is a better way to save the context this should not delegate to next it 's for backward compatibility only,1
quick fix for ant java use of property before initializing the project,1
xxx we should use jcvs www ice comjcvs instead of command line execution so that we do not rely on having native cv stuff around sm,1
two reason are mentioned in the api doc for file list dir is not a directory this is impossible a we would not get here in this case an io error occurred why doe not it throw an exception then \? \? \?,1
jakarta common logging listener note do not use the simplelog a your logger implementation a it cause an infinite loop since it writes to system err which ant trap and reroutes to the loggerlistener layer the following name are used for the log org apache tool ant project project name for project event org apache tool ant target target name for target event task class name target name for event in individual target in all target and project name we replace and with todo we should use the advanced context logging feature and expose them in c l first todo this is very inefficient switching the out and tracking the log can be optimized a lot but may require few more change to the core since ant,1
todo using taskname here is brittle a a user could override it this should probably be modified to use the classname instead,1
these are pathological case but retained in case somebody subclassed u,1
this is a rather hairy case one of our subclass know that we need to update the archive but at the same time there are no resource known to u that would need to be added only the subclass seems to know what 's going on this happens if detects that the manifest ha changed for example the manifest is not part of any resource because of our support for inline s if we invoke createemptyzip like ant did we 'll loose all stuff that ha been in the original archive bugzilla report,1
