commenttext,classification
fixm format ar not thread saf,1
xxx jon skeet the com if it ha not been don alread may not be strictli tru wrap maybeconfig wil not config the sam attributestext mor than ont but it may wel ad the child again unless i 've miss some,1
i hat to admit it but we do not know what hap her throw the exceiv,1
just a not starteam ha a statu for new which impl that ther is an item on yo loc machin that is not in the repositor thes ar the item that show up a not in view in the starteam gui on would think that we would want to perhap checkin the new item not in al cas stev coh dec unfortun the sdk doe not reall work and we can not act see any with a statu of new that is whi we can just check out every her without worr about los any,1
the gen class must not be ad in the gen jar is that bugg on old jon \? \?,1
todo is thi com stil relev \? \? fixm nee to us a saxsourc a the sourc for the transform so we can plug in our own entit resolv,1
thi is turn off temporaril ther appear to be a bug in selectorutil matchpattern wher it is rec on window ev if no is in pattern assertequ ffftffffffff result unix v assertequ ffftfffftfff result window,1
pattern now hold whil string is not exhaust thi wil gen fal posit but we can liv with that,1
fixm is no namespac is empt namespac reall ok \?,1
fixm thi is act not ver cpu cyc friendl a we ar convert from do to jav whil the underl sun impl wil convert from jav to do tim for intern stor,1
check first that it is not alread load otherw consecut run seem to end into an outofmemoryer or it fail when ther is a nat librar to load sev tim thi is far from be perfect but should work in most cas,1
todo a warn lin that show cod which contain a vary er wil cau som troubl the pars should definit be much bet,1
todo is thi com stil relev \? \? fixm nee to us a saxsourc a the sourc for the transform so we can plug in our own entit resolv,1
xxx i reall do not lik thi the xml process is stil too 'involv ' in the process a bet solv imo would be to cre ue for project and target too and then process the tre and hav projecttarget deal with it attribut simil with describ if we eventu switch to or ad support for dom thing wil work smoothl ue can be avoid almost complet it could stil be cre on demand for backward comp,1
junit wrap solo test thi way we can extract the origin test nam with a littl hack,1
xxx ign attribut in a diff n mayb stor them \?,1
borrow from tokenfiltertest,1
xxx mov to project so it is shar by al help,1
what is the propert suppo to be \?,1
pr hack for ant typ valu an ant typ is a compon nam which can be namespac nee to extract the nam and convert from qualif nam to urinam,1
ther 's a conven xsltc class vert but dat ar priv so us pack inform,1
stol from org apach xerc impl xmlentitymanag getuserdir of the xerc j team which asci charact nee to be escap,1
bingo append it thi should norm not be don her,1
thi is faintl ridic,1
can not remov undersc due to protect vis,1
todo not read yet in a publ set,1
pr i do not know what to do if the object class ha multipl defin but thi is for log onl,1
not sur what could be the nee of thi,1
xxx jon skeet an reason for writ a mess and then us a bar runtimeexceiv rath than just us a buildexceiv her \? is it in cas the mess could end up be writ to no log a the log could hav fail to be cre due to thi fail \?,1
experimentaltest wil be remov,1
xxx should instead mak a new protectiondomain with a codesourc correspond to contain tour tourl and the sam permissioncollect a project class protectiondomain had,1
thi is reall irrit we nee a way to set stuff,1
xxx al thi to convert sourc to destin director accord to weblog standard can be writ bet thi is too hack,1
sill hack to avoid stack overflow,1
access to propert tabl thi is us to support ant cal and simil task it should be deprec it is poss to us a bet mor effic mech to preserv the context,1
xxx should throw an exceiv instead \?,1
temporar until we fig a bet ap,1
ther is a bet way to sav the context thi should not deleg to next it 's for backward comp onl,1
quick fix for ant jav us of propert bef init the project,1
xxx we should us jcv www ic comjcv instead of command lin execut so that we do not rel on hav nat cv stuff around sm,1
two reason ar ment in the ap doc for fil list dir is not a director thi is imposs a we would not get her in thi cas an io er occ whi doe not it throw an exceiv then \? \? \?,1
jakart common log list not do not us the simplelog a yo log impl a it cau an infinit loop sint it writ to system er which ant trap and rerout to the loggerl lay the follow nam ar us for the log org apach tool ant project project nam for project ev org apach tool ant target target nam for target ev task class nam target nam for ev in individu target in al target and project nam we replac and with todo we should us the adv context log feat and expo them in c l first todo thi is ver ineffic switch the out and track the log can be optim a lot but may requir few mor chang to the cor sint ant,1
todo us tasknam her is brittl a a us could overrid it thi should prob be modif to us the classnam instead,1
thes ar patholog cas but retain in cas somebod subclass u,1
thi is a rath hair cas on of our subclass know that we nee to upd the arch but at the sam tim ther ar no resourc known to u that would nee to be ad onl the subclass seem to know what 's go on thi hap if detect that the manifest ha chang for exampl the manifest is not part of an resourc beca of our support for inlin s if we invok createemptyzip lik ant did we 'll loo al stuff that ha been in the origin arch bugzill report,1
thi is deprec us classespa in the fut,1
xxx thi array stuff is a remn of prev tri got ta remov,1
set the numb of millisecond leeway to giv bef decid a target is out of dat todo thi is not yet us param granul the granul us to decid if a target is out of dat,1
thi may chang if we ad adv par cap,1
we ass that ever output jik doe stand for an errorwarn xxx is thi correct \?,1
the lin below is a hack the system id must an ur but it is not cle to get the ur of an resourc so just set the nam of the resourc a a system id,1
xxx what is the follow do \? should it run if javadoc execut nul \?,1
mac o and previou todo i hav no ide how to get it someon must fix it,1
todo noth appear to read thi but is set us a publ set,1
xxx we ar commit combiningch and extend her,1
xxx fail to load the class properl should we print a warn her \?,1
xxx could perhap also cal thread stop not sur if anyon car,1
xxx perhap we should not us propert for thes three opt emac mod warn and ped but includ it in the javac direct \?,1
xxx mayb us reflect to addpathel oth pattern \?,1
todo ther is a problem with the construct for the rbc you hav to provid the rul in the construct no set avail,1
prob not the best cho but it solv the problem of rel path in classpa,1
fix for invalid charact if you think of mor ad to the list,1
fallback in cas we hav troubl load the class or do not know how to handl it ther is no eas way to know what idl mod would gen thi is suppo to mak ant alway recompil the class a a fil of that nam should not ex,1
check it out also ugl,1
i can not get my head around thi is encod tre nee her \?,1
quick dirt to mak nest map p set work,1
