ID,label,seq
0,0,( BlockStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_File ( SimpleName_File ) SimpleName_File ) ClassOrInterfaceType_File ( SimpleName_outputDir ) SimpleName_outputDir ( MethodCallExpr_getOutputDirectory ( SimpleName_getOutputDirectory ) SimpleName_getOutputDirectory ) MethodCallExpr_getOutputDirectory ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ) BlockStmt_null
1000,0,( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_def ) SimpleName_def ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_tokensDefs ( SimpleName_tokensDefs ) SimpleName_tokensDefs ) NameExpr_tokensDefs ( BlockStmt_null ( IfStmt_null ( MethodCallExpr_isTokenName ( NameExpr_Grammar ( SimpleName_Grammar ) SimpleName_Grammar ) NameExpr_Grammar ( SimpleName_isTokenName ) SimpleName_isTokenName ( MethodCallExpr_getText ( NameExpr_def ( SimpleName_def ) SimpleName_def ) NameExpr_def ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_isTokenName ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_defineTokenName ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_defineTokenName ) SimpleName_defineTokenName ( MethodCallExpr_getText ( NameExpr_def ( SimpleName_def ) SimpleName_def ) NameExpr_def ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_defineTokenName ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null
1001,0,( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_Rule ( SimpleName_Rule ) SimpleName_Rule ) ClassOrInterfaceType_Rule ( SimpleName_r ) SimpleName_r ) VariableDeclarator_null ) VariableDeclarationExpr_null ( MethodCallExpr_values ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_rules ) SimpleName_rules ) FieldAccessExpr_null ( SimpleName_values ) SimpleName_values ) MethodCallExpr_values ( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( UnaryExpr_null ( MethodCallExpr_isFragment ( NameExpr_r ( SimpleName_r ) SimpleName_r ) NameExpr_r ( SimpleName_isFragment ) SimpleName_isFragment ) MethodCallExpr_isFragment ) UnaryExpr_null ( UnaryExpr_null ( MethodCallExpr_hasTypeOrMoreCommand ( SimpleName_hasTypeOrMoreCommand ) SimpleName_hasTypeOrMoreCommand ( NameExpr_r ( SimpleName_r ) SimpleName_r ) NameExpr_r ) MethodCallExpr_hasTypeOrMoreCommand ) UnaryExpr_null ) BinaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_defineTokenName ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_defineTokenName ) SimpleName_defineTokenName ( FieldAccessExpr_null ( NameExpr_r ( SimpleName_r ) SimpleName_r ) NameExpr_r ( SimpleName_name ) SimpleName_name ) FieldAccessExpr_null ) MethodCallExpr_defineTokenName ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null
1002,0,( BlockStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_List ( SimpleName_List ) SimpleName_List ( ClassOrInterfaceType_Pair ( SimpleName_Pair ) SimpleName_Pair ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ) ClassOrInterfaceType_Pair ) ClassOrInterfaceType_List ( SimpleName_litAliases ) SimpleName_litAliases ( MethodCallExpr_getStringLiteralAliasesFromLexerRules ( NameExpr_Grammar ( SimpleName_Grammar ) SimpleName_Grammar ) NameExpr_Grammar ( SimpleName_getStringLiteralAliasesFromLexerRules ) SimpleName_getStringLiteralAliasesFromLexerRules ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_ast ) SimpleName_ast ) FieldAccessExpr_null ) MethodCallExpr_getStringLiteralAliasesFromLexerRules ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ) BlockStmt_null
1003,0,( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( NameExpr_litAliases ( SimpleName_litAliases ) SimpleName_litAliases ) NameExpr_litAliases ( NullLiteralExpr_null ) NullLiteralExpr_null ) BinaryExpr_null ( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_Pair ( SimpleName_Pair ) SimpleName_Pair ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ) ClassOrInterfaceType_Pair ( SimpleName_pair ) SimpleName_pair ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_litAliases ( SimpleName_litAliases ) SimpleName_litAliases ) NameExpr_litAliases ( BlockStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_nameAST ) SimpleName_nameAST ( FieldAccessExpr_null ( NameExpr_pair ( SimpleName_pair ) SimpleName_pair ) NameExpr_pair ( SimpleName_a ) SimpleName_a ) FieldAccessExpr_null ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_litAST ) SimpleName_litAST ( FieldAccessExpr_null ( NameExpr_pair ( SimpleName_pair ) SimpleName_pair ) NameExpr_pair ( SimpleName_b ) SimpleName_b ) FieldAccessExpr_null ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ( IfStmt_null ( UnaryExpr_null ( MethodCallExpr_containsKey ( FieldAccessExpr_null ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_stringLiteralToTypeMap ) SimpleName_stringLiteralToTypeMap ) FieldAccessExpr_null ( SimpleName_containsKey ) SimpleName_containsKey ( MethodCallExpr_getText ( NameExpr_litAST ( SimpleName_litAST ) SimpleName_litAST ) NameExpr_litAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_containsKey ) UnaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_defineTokenAlias ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_defineTokenAlias ) SimpleName_defineTokenAlias ( MethodCallExpr_getText ( NameExpr_nameAST ( SimpleName_nameAST ) SimpleName_nameAST ) NameExpr_nameAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ( MethodCallExpr_getText ( NameExpr_litAST ( SimpleName_litAST ) SimpleName_litAST ) NameExpr_litAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_defineTokenAlias ) ExpressionStmt_null ) BlockStmt_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_add ( NameExpr_conflictingLiterals ( SimpleName_conflictingLiterals ) SimpleName_conflictingLiterals ) NameExpr_conflictingLiterals ( SimpleName_add ) SimpleName_add ( MethodCallExpr_getText ( NameExpr_litAST ( SimpleName_litAST ) SimpleName_litAST ) NameExpr_litAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_add ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ) ForEachStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_String ( SimpleName_String ) SimpleName_String ) ClassOrInterfaceType_String ( SimpleName_lit ) SimpleName_lit ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_conflictingLiterals ( SimpleName_conflictingLiterals ) SimpleName_conflictingLiterals ) NameExpr_conflictingLiterals ( BlockStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_Integer ( SimpleName_Integer ) SimpleName_Integer ) ClassOrInterfaceType_Integer ( SimpleName_value ) SimpleName_value ( MethodCallExpr_remove ( FieldAccessExpr_null ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_stringLiteralToTypeMap ) SimpleName_stringLiteralToTypeMap ) FieldAccessExpr_null ( SimpleName_remove ) SimpleName_remove ( NameExpr_lit ( SimpleName_lit ) SimpleName_lit ) NameExpr_lit ) MethodCallExpr_remove ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ( IfStmt_null ( BinaryExpr_null ( BinaryExpr_null ( BinaryExpr_null ( BinaryExpr_null ( NameExpr_value ( SimpleName_value ) SimpleName_value ) NameExpr_value ( NullLiteralExpr_null ) NullLiteralExpr_null ) BinaryExpr_null ( BinaryExpr_null ( NameExpr_value ( SimpleName_value ) SimpleName_value ) NameExpr_value ( <NUM> ) <NUM> ) BinaryExpr_null ) BinaryExpr_null ( BinaryExpr_null ( NameExpr_value ( SimpleName_value ) SimpleName_value ) NameExpr_value ( MethodCallExpr_size ( FieldAccessExpr_null ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_typeToStringLiteralList ) SimpleName_typeToStringLiteralList ) FieldAccessExpr_null ( SimpleName_size ) SimpleName_size ) MethodCallExpr_size ) BinaryExpr_null ) BinaryExpr_null ( MethodCallExpr_equals ( NameExpr_lit ( SimpleName_lit ) SimpleName_lit ) NameExpr_lit ( SimpleName_equals ) SimpleName_equals ( MethodCallExpr_get ( FieldAccessExpr_null ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_typeToStringLiteralList ) SimpleName_typeToStringLiteralList ) FieldAccessExpr_null ( SimpleName_get ) SimpleName_get ( NameExpr_value ( SimpleName_value ) SimpleName_value ) NameExpr_value ) MethodCallExpr_get ) MethodCallExpr_equals ) BinaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_set ( FieldAccessExpr_null ( NameExpr_G ( SimpleName_G ) SimpleName_G ) NameExpr_G ( SimpleName_typeToStringLiteralList ) SimpleName_typeToStringLiteralList ) FieldAccessExpr_null ( SimpleName_set ) SimpleName_set ( NameExpr_value ( SimpleName_value ) SimpleName_value ) NameExpr_value ( NullLiteralExpr_null ) NullLiteralExpr_null ) MethodCallExpr_set ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null
1004,0,( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( NameExpr_altActionAst ( SimpleName_altActionAst ) SimpleName_altActionAst ) NameExpr_altActionAst ( NullLiteralExpr_null ) NullLiteralExpr_null ) BinaryExpr_null ( BlockStmt_null ( ReturnStmt_null ( BooleanLiteralExpr_false ) BooleanLiteralExpr_false ) ReturnStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null
1005,0,( BlockStmt_null ( ForStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( PrimitiveType_null ) PrimitiveType_null ( SimpleName_i ) SimpleName_i ( <NUM> ) <NUM> ) VariableDeclarator_null ) VariableDeclarationExpr_null ( BinaryExpr_null ( NameExpr_i ( SimpleName_i ) SimpleName_i ) NameExpr_i ( MethodCallExpr_getChildCount ( NameExpr_altActionAst ( SimpleName_altActionAst ) SimpleName_altActionAst ) NameExpr_altActionAst ( SimpleName_getChildCount ) SimpleName_getChildCount ) MethodCallExpr_getChildCount ) BinaryExpr_null ( UnaryExpr_null ( NameExpr_i ( SimpleName_i ) SimpleName_i ) NameExpr_i ) UnaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_node ) SimpleName_node ( CastExpr_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( MethodCallExpr_getChild ( NameExpr_altActionAst ( SimpleName_altActionAst ) SimpleName_altActionAst ) NameExpr_altActionAst ( SimpleName_getChild ) SimpleName_getChild ( NameExpr_i ( SimpleName_i ) SimpleName_i ) NameExpr_i ) MethodCallExpr_getChild ) CastExpr_null ) VariableDeclarator_null ) VariableDeclarationExpr_null ) ExpressionStmt_null ( IfStmt_null ( BinaryExpr_null ( MethodCallExpr_getType ( NameExpr_node ( SimpleName_node ) SimpleName_node ) NameExpr_node ( SimpleName_getType ) SimpleName_getType ) MethodCallExpr_getType ( FieldAccessExpr_null ( NameExpr_ANTLRParser ( SimpleName_ANTLRParser ) SimpleName_ANTLRParser ) NameExpr_ANTLRParser ( SimpleName_LEXER_ACTION_CALL ) SimpleName_LEXER_ACTION_CALL ) FieldAccessExpr_null ) BinaryExpr_null ( BlockStmt_null ( IfStmt_null ( MethodCallExpr_equals ( <STR> ) <STR> ( SimpleName_equals ) SimpleName_equals ( MethodCallExpr_getText ( MethodCallExpr_getChild ( NameExpr_node ( SimpleName_node ) SimpleName_node ) NameExpr_node ( SimpleName_getChild ) SimpleName_getChild ( <NUM> ) <NUM> ) MethodCallExpr_getChild ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_equals ( BlockStmt_null ( ReturnStmt_null ( BooleanLiteralExpr_true ) BooleanLiteralExpr_true ) ReturnStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ( IfStmt_null ( MethodCallExpr_equals ( <STR> ) <STR> ( SimpleName_equals ) SimpleName_equals ( MethodCallExpr_getText ( NameExpr_node ( SimpleName_node ) SimpleName_node ) NameExpr_node ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_equals ( BlockStmt_null ( ReturnStmt_null ( BooleanLiteralExpr_true ) BooleanLiteralExpr_true ) ReturnStmt_null ) BlockStmt_null ) IfStmt_null ) IfStmt_null ) BlockStmt_null ) ForStmt_null ) BlockStmt_null
1006,0,( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_alias ) SimpleName_alias ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_tokensDefs ( SimpleName_tokensDefs ) SimpleName_tokensDefs ) NameExpr_tokensDefs ( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( MethodCallExpr_getTokenType ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_getTokenType ) SimpleName_getTokenType ( MethodCallExpr_getText ( NameExpr_alias ( SimpleName_alias ) SimpleName_alias ) NameExpr_alias ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_getTokenType ( FieldAccessExpr_null ( NameExpr_Token ( SimpleName_Token ) SimpleName_Token ) NameExpr_Token ( SimpleName_INVALID_TYPE ) SimpleName_INVALID_TYPE ) FieldAccessExpr_null ) BinaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_grammarError ( FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_tool ) SimpleName_tool ) FieldAccessExpr_null ( SimpleName_errMgr ) SimpleName_errMgr ) FieldAccessExpr_null ( SimpleName_grammarError ) SimpleName_grammarError ( FieldAccessExpr_null ( NameExpr_ErrorType ( SimpleName_ErrorType ) SimpleName_ErrorType ) NameExpr_ErrorType ( SimpleName_TOKEN_NAME_REASSIGNMENT ) SimpleName_TOKEN_NAME_REASSIGNMENT ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_fileName ) SimpleName_fileName ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_alias ( SimpleName_alias ) SimpleName_alias ) NameExpr_alias ( SimpleName_token ) SimpleName_token ) FieldAccessExpr_null ( MethodCallExpr_getText ( NameExpr_alias ( SimpleName_alias ) SimpleName_alias ) NameExpr_alias ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_grammarError ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ( ExpressionStmt_null ( MethodCallExpr_defineTokenName ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_defineTokenName ) SimpleName_defineTokenName ( MethodCallExpr_getText ( NameExpr_alias ( SimpleName_alias ) SimpleName_alias ) NameExpr_alias ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_defineTokenName ) ExpressionStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null
1007,0,( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_idAST ) SimpleName_idAST ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_tokenIDs ( SimpleName_tokenIDs ) SimpleName_tokenIDs ) NameExpr_tokenIDs ( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( MethodCallExpr_getTokenType ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_getTokenType ) SimpleName_getTokenType ( MethodCallExpr_getText ( NameExpr_idAST ( SimpleName_idAST ) SimpleName_idAST ) NameExpr_idAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_getTokenType ( FieldAccessExpr_null ( NameExpr_Token ( SimpleName_Token ) SimpleName_Token ) NameExpr_Token ( SimpleName_INVALID_TYPE ) SimpleName_INVALID_TYPE ) FieldAccessExpr_null ) BinaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_grammarError ( FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_tool ) SimpleName_tool ) FieldAccessExpr_null ( SimpleName_errMgr ) SimpleName_errMgr ) FieldAccessExpr_null ( SimpleName_grammarError ) SimpleName_grammarError ( FieldAccessExpr_null ( NameExpr_ErrorType ( SimpleName_ErrorType ) SimpleName_ErrorType ) NameExpr_ErrorType ( SimpleName_IMPLICIT_TOKEN_DEFINITION ) SimpleName_IMPLICIT_TOKEN_DEFINITION ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_fileName ) SimpleName_fileName ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_idAST ( SimpleName_idAST ) SimpleName_idAST ) NameExpr_idAST ( SimpleName_token ) SimpleName_token ) FieldAccessExpr_null ( MethodCallExpr_getText ( NameExpr_idAST ( SimpleName_idAST ) SimpleName_idAST ) NameExpr_idAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_grammarError ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ( ExpressionStmt_null ( MethodCallExpr_defineTokenName ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_defineTokenName ) SimpleName_defineTokenName ( MethodCallExpr_getText ( NameExpr_idAST ( SimpleName_idAST ) SimpleName_idAST ) NameExpr_idAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_defineTokenName ) ExpressionStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null
1008,0,( BlockStmt_null ( ForEachStmt_null ( VariableDeclarationExpr_null ( VariableDeclarator_null ( ClassOrInterfaceType_GrammarAST ( SimpleName_GrammarAST ) SimpleName_GrammarAST ) ClassOrInterfaceType_GrammarAST ( SimpleName_termAST ) SimpleName_termAST ) VariableDeclarator_null ) VariableDeclarationExpr_null ( NameExpr_terminals ( SimpleName_terminals ) SimpleName_terminals ) NameExpr_terminals ( BlockStmt_null ( IfStmt_null ( BinaryExpr_null ( MethodCallExpr_getType ( NameExpr_termAST ( SimpleName_termAST ) SimpleName_termAST ) NameExpr_termAST ( SimpleName_getType ) SimpleName_getType ) MethodCallExpr_getType ( FieldAccessExpr_null ( NameExpr_ANTLRParser ( SimpleName_ANTLRParser ) SimpleName_ANTLRParser ) NameExpr_ANTLRParser ( SimpleName_STRING_LITERAL ) SimpleName_STRING_LITERAL ) FieldAccessExpr_null ) BinaryExpr_null ( BlockStmt_null ( ContinueStmt_null ) ContinueStmt_null ) BlockStmt_null ) IfStmt_null ( IfStmt_null ( BinaryExpr_null ( MethodCallExpr_getTokenType ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_getTokenType ) SimpleName_getTokenType ( MethodCallExpr_getText ( NameExpr_termAST ( SimpleName_termAST ) SimpleName_termAST ) NameExpr_termAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_getTokenType ( FieldAccessExpr_null ( NameExpr_Token ( SimpleName_Token ) SimpleName_Token ) NameExpr_Token ( SimpleName_INVALID_TYPE ) SimpleName_INVALID_TYPE ) FieldAccessExpr_null ) BinaryExpr_null ( BlockStmt_null ( ExpressionStmt_null ( MethodCallExpr_grammarError ( FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_tool ) SimpleName_tool ) FieldAccessExpr_null ( SimpleName_errMgr ) SimpleName_errMgr ) FieldAccessExpr_null ( SimpleName_grammarError ) SimpleName_grammarError ( FieldAccessExpr_null ( NameExpr_ErrorType ( SimpleName_ErrorType ) SimpleName_ErrorType ) NameExpr_ErrorType ( SimpleName_IMPLICIT_STRING_DEFINITION ) SimpleName_IMPLICIT_STRING_DEFINITION ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_g ( SimpleName_g ) SimpleName_g ) NameExpr_g ( SimpleName_fileName ) SimpleName_fileName ) FieldAccessExpr_null ( FieldAccessExpr_null ( NameExpr_termAST ( SimpleName_termAST ) SimpleName_termAST ) NameExpr_termAST ( SimpleName_token ) SimpleName_token ) FieldAccessExpr_null ( MethodCallExpr_getText ( NameExpr_termAST ( SimpleName_termAST ) SimpleName_termAST ) NameExpr_termAST ( SimpleName_getText ) SimpleName_getText ) MethodCallExpr_getText ) MethodCallExpr_grammarError ) ExpressionStmt_null ) BlockStmt_null ) IfStmt_null ) BlockStmt_null ) ForEachStmt_null ) BlockStmt_null
