ANTLR4 ,507, 61 ,12.03%,428, 63 ,14.72%,1283, 52 ,4.05%,1122, 27 ,2.41%
DBeaver ,4726, 236 ,4.99%,3999, 250 ,6.25%,5565, 265 ,4.76%,5042, 213 ,4.22%
Elasticsearch ,14066, 1073 ,7.63%,10825, 1209 ,11.17%,27447, 1066 ,3.88%,22336, 808 ,3.62%
ExoPlayer ,1399, 263 ,18.80%,2158, 348 ,16.13%,10562, 628 ,5.95%,10897, 314 ,2.88%
FastJSON ,1051, 54 ,5.14%,1118, 64 ,5.72%,1287, 106 ,8.24%,1327, 39 ,2.94%
Flink ,13075, 850 ,6.50%,16473, 924 ,5.61%,28092, 841 ,2.99%,22053, 430 ,1.95%
Guava ,1498, 458 ,30.57%,2313, 537 ,23.22%,8344, 796 ,9.54%,8262, 560 ,6.78%
Jenkins ,1624, 483 ,29.74%,2142, 582 ,27.17%,6637, 885 ,13.33%,4354, 335 ,7.69%
LibGDX ,2198, 139 ,6.32%,2143, 144 ,6.72%,7282, 222 ,3.05%,2860, 134 ,4.69%
Logstash ,505, 38 ,7.52%,446, 47 ,10.54%,809, 43 ,5.32%,566, 23 ,4.06%
Mockito ,897, 85 ,9.48%,656, 89 ,13.57%,1632, 87 ,5.33%,1816, 69 ,3.80%
OpenRefine ,935, 112 ,11.98%,554, 117 ,21.12%,1328, 128 ,9.64%,1081, 97 ,8.97%
Presto ,7877, 600 ,7.62%,3675, 683 ,18.59%,8423, 763 ,9.06%,12178, 641 ,5.26%
Quarkus ,5668, 642 ,11.33%,6412, 687 ,10.71%,11355, 676 ,5.95%,8580, 501 ,5.84%
QuestDB ,2453, 73 ,2.98%,1036, 80 ,7.72%,3202, 103 ,3.22%,4162, 101 ,2.43%
Redisson ,1378, 36 ,2.61%,1220, 35 ,2.87%,4790, 61 ,1.27%,589, 65 ,11.04%
RxJava ,1857, 82 ,4.42%,1162, 87 ,7.49%,3858, 148 ,3.84%,2162, 88 ,4.07%
Tink ,631, 127 ,20.13%,737, 134 ,18.18%,2038, 158 ,7.75%,1769, 34 ,1.92%
\textbf{Total} ,62345, 5412 ,8.68%,57497, 6080 ,10.57%,133934, 7028 ,5.25%,111156, 4479 ,4.03%
