ANTLR4 ,518,507,97.88%,61,12.03%,585,428,73.16%,63,14.72%,3705 ,1283 ,34.63%,52,4.05%,11908 ,1122,9.42%,27 ,2.41%
DBeaver ,4742,4726,99.66%,236,4.99%,5565,3999,71.86%,250,6.25%,36469 ,5565 ,15.26%,265,4.76%,73292 ,5042,6.88%,213 ,4.22%
Elasticsearch ,14234,14066,98.82%,1073,7.63%,18995,10825,56.99%,1209,11.17%,114135 ,27447 ,24.05%,1066,3.88%,403576 ,22336,5.53%,808 ,3.62%
ExoPlayer ,1493,1399,93.70%,263,18.80%,2355,2158,91.63%,348,16.13%,18496 ,10562 ,57.10%,628,5.95%,65972 ,10897,16.52%,314 ,2.88%
FastJSON ,3121,1051,33.68%,54,5.14%,5685,1118,19.67%,64,5.72%,20187 ,1287 ,6.38%,106,8.24%,49950 ,1327,2.66%,39 ,2.94%
Flink ,13198,13075,99.07%,850,6.50%,20363,16473,80.90%,924,5.61%,100994 ,28092 ,27.82%,841,2.99%,284028 ,22053,7.76%,430 ,1.95%
Guava ,3039,1498,49.29%,458,30.57%,6850,2313,33.77%,537,23.22%,49181 ,8344 ,16.97%,796,9.54%,131166 ,8262,6.30%,560 ,6.78%
Jenkins ,1716,1624,94.64%,483,29.74%,3299,2142,64.93%,582,27.17%,15361 ,6637 ,43.21%,885,13.33%,46292 ,4354,9.41%,335 ,7.69%
LibGDX ,2317,2198,94.86%,139,6.32%,3033,2143,70.66%,144,6.72%,41115 ,7282 ,17.71%,222,3.05%,73596 ,2860,3.89%,134 ,4.69%
Logstash ,523,505,96.56%,38,7.52%,681,446,65.49%,47,10.54%,3575 ,809 ,22.63%,43,5.32%,9534 ,566,5.94%,23 ,4.06%
Mockito ,957,897,93.73%,85,9.48%,1682,656,39.00%,89,13.57%,5728 ,1632 ,28.49%,87,5.33%,13054 ,1816,13.91%,69 ,3.80%
OpenRefine ,1031,935,90.69%,112,11.98%,1207,554,45.90%,117,21.12%,5261 ,1328 ,25.24%,128,9.64%,16294 ,1081,6.63%,97 ,8.97%
Presto ,7964,7877,98.91%,600,7.62%,10014,3675,36.70%,683,18.59%,67558 ,8423 ,12.47%,763,9.06%,187289 ,12178,6.50%,641 ,5.26%
Quarkus ,13052,5668,43.43%,642,11.33%,17114,6412,37.47%,687,10.71%,59449 ,11355 ,19.10%,676,5.95%,132744 ,8580,6.46%,501 ,5.84%
QuestDB ,2537,2453,96.69%,73,2.98%,3492,1036,29.67%,80,7.72%,30736 ,3202 ,10.42%,103,3.22%,61911 ,4162,6.72%,101 ,2.43%
Redisson ,2151,1378,64.06%,36,2.61%,2424,1220,50.33%,35,2.87%,24849 ,4790 ,19.28%,61,1.27%,59711 ,589,0.99%,65 ,11.04%
RxJava ,1883,1857,98.62%,82,4.42%,3008,1162,38.63%,87,7.49%,22116 ,3858 ,17.44%,148,3.84%,72073 ,2162,3.00%,88 ,4.07%
Tink ,634,631,99.53%,127,20.13%,853,737,86.40%,134,18.18%,5226 ,2038 ,39.00%,158,7.75%,20943 ,1769,8.45%,34 ,1.92%
\textbf{Total} ,75110,62345,83.00%,5412,8.68%,107205,57497,53.63%,6080,10.57%,624141 ,133934 ,21.46%,7028,5.25%,1713333 ,111156,6.49%,4479 ,4.03%
Meadian,2234,1561,95.71%,133,7.63%,3166,1681,53.66%,139,10.94%,23483 ,5178 ,20.96%,190,5.33%,63942 ,3511,6.57%,118 ,4.07%
total,75110,62345,83.00%,5412,8.68%,107205,57497,53.63%,6080,10.57%,624141,133934,21.46%,7028,5.25%,1713333,111156,6.49%,4479,4.03%
