comment,xgboost,mat,ggsatd,voting_label,annotator1_label,annotator2_label,annotator3_label,label
"/* TODO: If we are doing predicates, there is no point in pursuing		 closure operations if we reach a DFA state that uniquely predicts		 alternative. We will not be caching that DFA state and it is a		 waste to pursue the closure. Might have to advance when we do		 ambig detection thought :(		  */",1,1,1,1,-1,-1,-1,-1
"/** * Collects (create) rules, terminals, strings, actions, scopes etc... from AST *  side-effects: sets resolver field of asts for actions and *  defines predicates via definePredicateInAlt(), collects actions and stores *  in alts. *  TODO: remove side-effects! */",1,1,1,1,-1,-1,-1,-1
"/** * Compiler Warning 180. * * <p>chars ""a-f"" used multiple times in set [a-fc-m]</p> * * <pre> * A:    [aa-z];   // warning * B:    [a-fc-m]; // warning * </pre> * * TODO: Does not work with fragment rules. */",1,1,1,1,-1,-1,-1,-1
"/** * Convert the int list to a char array where values > 0x7FFFF take 2 bytes. TODO????? *  If all values are less *  than the 0x7FFF 16-bit code point limit (1 bit taken to indicatethen this is just a char array *  of 16-bit char as usual. For values in the supplementary range, encode * them as two UTF-16 code units. */",1,1,1,1,-1,-1,-1,-1
"/** * Find and replace *      ID*[','] with ID (',' ID)* *      ID+[','] with ID (',' ID)+ *      (x {action} y)+[','] with x {action} y (',' x {action} y)+ * *  Parameter must be a token. *  todo: do we want? */",1,1,1,1,-1,-1,-1,-1
"/** * For reference to rule r, build * *  o-e-&gt;(r)  o * *  where (r) is the start of rule r and the trailing o is not linked *  to from rule ref state directly (it's done thru the transition(0) *  RuleClosureTransition. * *  If the rule r is just a list of tokens, it's block will be just *  a set on an edge o-&gt;o-&gt;o-set-&gt;o-&gt;o-&gt;o, could inline it rather than doing *  the rule reference, but i'm not doing this yet as I'm not sure *  it would help much in the ATN-&gt;DFA construction. * *  TODO add to codegen: collapse alt blks that are sets into single matchSet * @param node */",1,1,0,1,-1,-1,-1,-1
"/** * From {@code A|B|..|Z} alternative block build * * <pre> *  o-&gt;o-A-&gt;o-&gt;o (last ATNState is BlockEndState pointed to by all alts) *  |          ^ *  |-&gt;o-B-&gt;o--| *  |          | *  ...        | *  |          | *  |-&gt;o-Z-&gt;o--| * </pre> * * So start node points at every alternative with epsilon transition and * every alt right side points at a block end ATNState. * <p> * Special case: only one alternative: don't make a block with alt * begin/end. * <p> * Special case: if just a list of tokens/chars/sets, then collapse to a * single edged o-set-&gt;o graph. * <p> * TODO: Set alt number (1..n) in the states? */",1,1,0,1,-1,-1,-1,-1
/** * No side-effects except for setting options into the appropriate node. *  TODO:  make the side effects into a separate pass this * * Invokes check rules for these: * * FILE_AND_GRAMMAR_NAME_DIFFER * LEXER_RULES_NOT_ALLOWED * PARSER_RULES_NOT_ALLOWED * CANNOT_ALIAS_TOKENS * ARGS_ON_TOKEN_REF * ILLEGAL_OPTION * REWRITE_OR_OP_WITH_NO_OUTPUT_OPTION * NO_RULES * REWRITE_FOR_MULTI_ELEMENT_ALT * HETERO_ILLEGAL_IN_REWRITE_ALT * AST_OP_WITH_NON_AST_OUTPUT_OPTION * AST_OP_IN_ALT_WITH_REWRITE * CONFLICTING_OPTION_IN_TREE_FILTER * WILDCARD_AS_ROOT * INVALID_IMPORT * TOKEN_VOCAB_IN_DELEGATE * IMPORT_NAME_CLASH * REPEATED_PREQUEL * TOKEN_NAMES_MUST_START_UPPER */,1,1,1,1,-1,-1,-1,-1
"/** * TODO: make all transitions sets? no, should remove set edges */",1,1,1,1,-1,-1,-1,-1
"/** * TODO: this is old comment: *  A tree of semantic predicates from the grammar AST if label==SEMPRED. *  In the ATN, labels will always be exactly one predicate, but the DFA *  may have to combine a bunch of them as it collects predicates from *  multiple ATN configurations into a single DFA state. */",1,1,1,1,-1,-1,-1,-1
